,direction_key,flow_status,id,id_point_type,operator_key,period_from,period_to,period_type,point_key,point_label,tso_eic_code,unit,value
0,entry,Confirmed,1Physical Flowday2019-11-302019-12-01CZ-TSO-0001ITP-00537entrykWh/d,0.0,CZ-TSO-0001,2019-12-01T00:00:00+01:00,2019-12-02T00:00:00+01:00,day,ITP-00537,VIP Brandov-GASPOOL,21X000000001304L,kWh/d,0
1,exit,Confirmed,1Physical Flowday2019-11-302019-12-01CZ-TSO-0001ITP-00537exitkWh/d,0.0,CZ-TSO-0001,2019-12-01T00:00:00+01:00,2019-12-02T00:00:00+01:00,day,ITP-00537,VIP Brandov-GASPOOL,21X000000001304L,kWh/d,0
2,entry,Confirmed,1Physical Flowday2019-11-302019-12-01CZ-TSO-0001ITP-00538entrykWh/d,0.0,CZ-TSO-0001,2019-12-01T00:00:00+01:00,2019-12-02T00:00:00+01:00,day,ITP-00538,VIP Waidhaus NCG,21X000000001304L,kWh/d,0
3,exit,Confirmed,1Physical Flowday2019-11-302019-12-01CZ-TSO-0001ITP-00538exitkWh/d,0.0,CZ-TSO-0001,2019-12-01T00:00:00+01:00,2019-12-02T00:00:00+01:00,day,ITP-00538,VIP Waidhaus NCG,21X000000001304L,kWh/d,0
4,entry,Confirmed,1Physical Flowday2019-11-302019-12-01CZ-TSO-0001UGS-00446entrykWh/d,6.0,CZ-TSO-0001,2019-12-01T00:00:00+01:00,2019-12-02T00:00:00+01:00,day,UGS-00446,VGS Moravia,21X000000001304L,kWh/d,0
5,exit,Confirmed,1Physical Flowday2019-11-302019-12-01CZ-TSO-0001UGS-00446exitkWh/d,6.0,CZ-TSO-0001,2019-12-01T00:00:00+01:00,2019-12-02T00:00:00+01:00,day,UGS-00446,VGS Moravia,21X000000001304L,kWh/d,0
6,exit,Provisional,1Physical Flowday2019-12-012019-12-02RO-TSO-0001DIS-00058exitkWh/d,17.0,RO-TSO-0001,2019-12-01T05:00:00+01:00,2019-12-02T05:00:00+01:00,day,DIS-00058,Distribution (RO),21X-RO-A-A0A0A-S,kWh/d,355674618.2
7,exit,Provisional,1Physical Flowday2019-12-012019-12-02RO-TSO-0001FNC-00010exitkWh/d,18.0,RO-TSO-0001,2019-12-01T05:00:00+01:00,2019-12-02T05:00:00+01:00,day,FNC-00010,Final Consumers (RO),21X-RO-A-A0A0A-S,kWh/d,107766208.1
8,entry,Provisional,1Physical Flowday2019-12-012019-12-02RO-TSO-0001ITP-00032entrykWh/d,0.0,RO-TSO-0001,2019-12-01T05:00:00+01:00,2019-12-02T05:00:00+01:00,day,ITP-00032,Csanadpalota,21X-RO-A-A0A0A-S,kWh/d,30577692.67
9,exit,Provisional,1Physical Flowday2019-12-012019-12-02RO-TSO-0001ITP-00032exitkWh/d,0.0,RO-TSO-0001,2019-12-01T05:00:00+01:00,2019-12-02T05:00:00+01:00,day,ITP-00032,Csanadpalota,21X-RO-A-A0A0A-S,kWh/d,0
10,exit,Provisional,1Physical Flowday2019-12-012019-12-02RO-TSO-0001ITP-00058exitkWh/d,0.0,RO-TSO-0001,2019-12-01T05:00:00+01:00,2019-12-02T05:00:00+01:00,day,ITP-00058,Negru Voda I (RO) / Kardam (BG),21X-RO-A-A0A0A-S,kWh/d,39483302
11,entry,Provisional,1Physical Flowday2019-12-012019-12-02RO-TSO-0001ITP-00087entrykWh/d,1.0,RO-TSO-0001,2019-12-01T05:00:00+01:00,2019-12-02T05:00:00+01:00,day,ITP-00087,Isaccea (RO) - Orlovka (UA) I,21X-RO-A-A0A0A-S,kWh/d,37160552
12,entry,Provisional,1Physical Flowday2019-12-012019-12-02RO-TSO-0001ITP-00153entrykWh/d,0.0,RO-TSO-0001,2019-12-01T05:00:00+01:00,2019-12-02T05:00:00+01:00,day,ITP-00153,Ruse (BG) / Giurgiu (RO),21X-RO-A-A0A0A-S,kWh/d,0
13,exit,Provisional,1Physical Flowday2019-12-012019-12-02RO-TSO-0001ITP-00153exitkWh/d,0.0,RO-TSO-0001,2019-12-01T05:00:00+01:00,2019-12-02T05:00:00+01:00,day,ITP-00153,Ruse (BG) / Giurgiu (RO),21X-RO-A-A0A0A-S,kWh/d,0
14,exit,Provisional,1Physical Flowday2019-12-012019-12-02RO-TSO-0001ITP-00154exitkWh/d,14.0,RO-TSO-0001,2019-12-01T05:00:00+01:00,2019-12-02T05:00:00+01:00,day,ITP-00154,Ungheni,21X-RO-A-A0A0A-S,kWh/d,0
15,entry,Provisional,1Physical Flowday2019-12-012019-12-02RO-TSO-0001ITP-00299entrykWh/d,1.0,RO-TSO-0001,2019-12-01T05:00:00+01:00,2019-12-02T05:00:00+01:00,day,ITP-00299,Isaccea (RO) - Orlovka (UA) II,21X-RO-A-A0A0A-S,kWh/d,0
16,entry,Provisional,1Physical Flowday2019-12-012019-12-02RO-TSO-0001ITP-00300entrykWh/d,1.0,RO-TSO-0001,2019-12-01T05:00:00+01:00,2019-12-02T05:00:00+01:00,day,ITP-00300,Isaccea (RO) - Orlovka (UA) III,21X-RO-A-A0A0A-S,kWh/d,106877213.7
17,exit,Provisional,1Physical Flowday2019-12-012019-12-02RO-TSO-0001ITP-00301exitkWh/d,0.0,RO-TSO-0001,2019-12-01T05:00:00+01:00,2019-12-02T05:00:00+01:00,day,ITP-00301,Negru Voda II,21X-RO-A-A0A0A-S,kWh/d,0
18,exit,Provisional,1Physical Flowday2019-12-012019-12-02RO-TSO-0001ITP-00302exitkWh/d,0.0,RO-TSO-0001,2019-12-01T05:00:00+01:00,2019-12-02T05:00:00+01:00,day,ITP-00302,Negru Voda III,21X-RO-A-A0A0A-S,kWh/d,127847749.6
